vote_id,member_id,position,country_code,ep_group,source
21,672,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
21,846,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
21,849,DID_NOT_VOTE,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
22,27,ABSTENTION,DNK,Group of the Greens/European Free Alliance,votewatch
22,53,FOR,DNK,Group of the European People's Party (Christian Democrats),votewatch
22,116,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
22,316,DID_NOT_VOTE,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
22,321,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
22,446,DID_NOT_VOTE,DNK,Europe of freedom and democracy Group,votewatch
22,550,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
22,555,AGAINST,DNK,European Conservatives and Reformists Group,votewatch
22,576,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
22,611,AGAINST,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
22,654,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
22,672,ABSTENTION,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
22,846,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
22,849,DID_NOT_VOTE,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
23,27,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
23,53,AGAINST,DNK,Group of the European People's Party (Christian Democrats),votewatch
23,116,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
23,316,DID_NOT_VOTE,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
23,321,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
23,396,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
23,446,DID_NOT_VOTE,DNK,Europe of freedom and democracy Group,votewatch
23,550,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
23,555,AGAINST,DNK,European Conservatives and Reformists Group,votewatch
23,576,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
23,611,FOR,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
23,654,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
23,672,FOR,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
23,846,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
23,849,DID_NOT_VOTE,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
24,27,FOR,DNK,Group of the Greens/European Free Alliance,votewatch
24,53,AGAINST,DNK,Group of the European People's Party (Christian Democrats),votewatch
24,116,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
24,316,DID_NOT_VOTE,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
24,321,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
24,396,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
24,446,DID_NOT_VOTE,DNK,Europe of freedom and democracy Group,votewatch
24,550,AGAINST,DNK,Group of the Alliance of Liberals and Democrats for Europe,votewatch
24,555,ABSTENTION,DNK,European Conservatives and Reformists Group,votewatch
24,576,AGAINST,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
24,611,FOR,DNK,Confederal Group of the European United Left - Nordic Green Left,votewatch
24,654,DID_NOT_VOTE,DNK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,votewatch
