vote_id,member_id,position,country_code,group_code
170351,96709,DID_NOT_VOTE,DNK,RENEW
170351,101585,FOR,DNK,SD
170351,111412,DID_NOT_VOTE,DNK,GREEN_EFA
170351,124875,DID_NOT_VOTE,DNK,PFE
170351,197558,DID_NOT_VOTE,DNK,RENEW
170351,197573,FOR,DNK,GREEN_EFA
170351,199941,DID_NOT_VOTE,DNK,SD
170351,257020,FOR,DNK,RENEW
170351,257023,FOR,DNK,GUE_NGL
170351,257025,FOR,DNK,ECR
170351,257028,FOR,DNK,EPP
170351,257033,FOR,DNK,EPP
170351,257038,FOR,DNK,RENEW
170351,257044,FOR,DNK,GREEN_EFA
170366,37312,FOR,DNK,SD
170366,96709,DID_NOT_VOTE,DNK,RENEW
170366,101585,FOR,DNK,SD
170366,111412,DID_NOT_VOTE,DNK,GREEN_EFA
170366,124875,DID_NOT_VOTE,DNK,PFE
170366,197558,FOR,DNK,RENEW
170366,197573,FOR,DNK,GREEN_EFA
170366,199941,DID_NOT_VOTE,DNK,SD
170366,257020,FOR,DNK,RENEW
170366,257023,FOR,DNK,GUE_NGL
170366,257025,FOR,DNK,ECR
170366,257028,FOR,DNK,EPP
170366,257033,FOR,DNK,EPP
170366,257038,FOR,DNK,RENEW
170366,257044,FOR,DNK,GREEN_EFA
170381,37312,FOR,DNK,SD
170381,96709,FOR,DNK,RENEW
170381,101585,FOR,DNK,SD
170381,111412,FOR,DNK,GREEN_EFA
170381,124875,ABSTENTION,DNK,PFE
170381,197558,FOR,DNK,RENEW
170381,197573,FOR,DNK,GREEN_EFA
170381,199941,FOR,DNK,SD
170381,257020,FOR,DNK,RENEW
170381,257023,AGAINST,DNK,GUE_NGL
170381,257025,FOR,DNK,ECR
170381,257028,FOR,DNK,EPP
170381,257033,FOR,DNK,EPP
170381,257038,FOR,DNK,RENEW
170381,257044,FOR,DNK,GREEN_EFA
170382,37312,FOR,DNK,SD
170382,96709,FOR,DNK,RENEW
170382,101585,FOR,DNK,SD
170382,111412,FOR,DNK,GREEN_EFA
170382,124875,ABSTENTION,DNK,PFE
170382,197558,FOR,DNK,RENEW
170382,197573,FOR,DNK,GREEN_EFA
170382,199941,FOR,DNK,SD
170382,257020,FOR,DNK,RENEW
170382,257023,FOR,DNK,GUE_NGL
170382,257025,FOR,DNK,ECR
170382,257028,FOR,DNK,EPP
170382,257033,FOR,DNK,EPP
170382,257038,FOR,DNK,RENEW
170382,257044,FOR,DNK,GREEN_EFA
170398,37312,AGAINST,DNK,SD
170398,96709,FOR,DNK,RENEW
170398,101585,AGAINST,DNK,SD
170398,111412,AGAINST,DNK,GREEN_EFA
170398,124875,FOR,DNK,PFE
170398,197558,FOR,DNK,RENEW
170398,197573,AGAINST,DNK,GREEN_EFA
170398,199941,AGAINST,DNK,SD
170398,257020,AGAINST,DNK,RENEW
170398,257023,AGAINST,DNK,GUE_NGL
170398,257025,FOR,DNK,ECR
170398,257028,FOR,DNK,EPP
170398,257033,FOR,DNK,EPP
170398,257038,AGAINST,DNK,RENEW
170398,257044,AGAINST,DNK,GREEN_EFA
170401,37312,FOR,DNK,SD
170401,96709,FOR,DNK,RENEW
170401,101585,FOR,DNK,SD
170401,111412,FOR,DNK,GREEN_EFA
170401,124875,AGAINST,DNK,PFE
170401,197558,FOR,DNK,RENEW
170401,197573,FOR,DNK,GREEN_EFA
170401,199941,FOR,DNK,SD
170401,257020,FOR,DNK,RENEW
170401,257023,FOR,DNK,GUE_NGL
170401,257025,FOR,DNK,ECR
170401,257028,FOR,DNK,EPP
170401,257033,FOR,DNK,EPP
170401,257038,FOR,DNK,RENEW
170401,257044,FOR,DNK,GREEN_EFA
170528,37312,FOR,DNK,SD
170528,96709,FOR,DNK,RENEW
170528,101585,FOR,DNK,SD
170528,111412,FOR,DNK,GREEN_EFA
170528,124875,AGAINST,DNK,PFE
170528,197558,FOR,DNK,RENEW
170528,197573,FOR,DNK,GREEN_EFA
170528,199941,FOR,DNK,SD
170528,257020,FOR,DNK,RENEW
170528,257023,FOR,DNK,GUE_NGL
170528,257025,AGAINST,DNK,ECR
170528,257028,FOR,DNK,EPP
170528,257033,FOR,DNK,EPP
170528,257038,FOR,DNK,RENEW
170528,257044,FOR,DNK,GREEN_EFA
170611,37312,FOR,DNK,SD
170611,96709,FOR,DNK,RENEW
170611,101585,FOR,DNK,SD
170611,111412,FOR,DNK,GREEN_EFA
170611,124875,AGAINST,DNK,PFE
170611,197558,FOR,DNK,RENEW
170611,197573,FOR,DNK,GREEN_EFA
170611,199941,FOR,DNK,SD
170611,257020,FOR,DNK,RENEW
170611,257023,AGAINST,DNK,GUE_NGL
170611,257025,ABSTENTION,DNK,ECR
