sagid,sag_nummer,domains
75679,L 163,Local
75897,L 191,Local
75669,L 153,Housing
75904,L 206,Infrastructure
75796,L 184,Business|Justice
75888,L 198,Energy
75924,L 195,Europe|Immigration
75925,L 196,Immigration
75920,L 197,Immigration
75908,L 199,Education
75907,L 200,Education
75906,L 201,Education|Local
75905,L 202,Education
75485,L 146,Health
75688,L 165,Infrastructure
75673,L 161,Social
75910,L 221,Social
75386,L 134,Agriculture|Health
75913,L 213,Health
76207,L 233,Health
75791,L 182,Justice
75884,L 203,Justice
75885,L 204,Justice
75887,L 208,Justice
76073,L 218,Justice
76074,L 219,Justice
76211,L 223,Justice
75911,L 207,Economy
76284,L 238,Economy|Labour
76132,L 222,Immigration
75487,L 141,Immigration|Labour
76233,L 234,Infrastructure
76075,L 220,Local
76279,L 236,Economy|Local
76206,L 232,Foreign
76202,L 228,Environment
76203,L 229,Agriculture
76199,L 230,Culture
76208,L 225,Education|Immigration
76210,L 231,Immigration
76280,L 239,Immigration
75919,L 189,Immigration
77279,L 31,Economy|Foreign
77281,L 32,Economy|Foreign
77282,L 33,Economy|Foreign
77283,L 34,Economy|Foreign
77231,L 48,Business
77239,L 49,Business
77237,L 50,Business
77260,L 9,Social
77266,L 38,Housing|Immigration
77272,L 57,Education
77275,L 59,Education
77284,L 23,Infrastructure
77286,L 24,Energy
77250,L 53,Environment
77288,L 61,Health
77291,L 62,Health
77294,L 63,Health
77295,L 64,Health
77968,L 65 A,Health
77969,L 65 B,Health
77290,L 25,Economy|Labour
77292,L 26,Economy
78025,L 29 A,Economy
78024,L 29 B,Economy|Environment
78029,L 30 A,Economy|Education
78028,L 30 B,Economy|Justice
77270,L 35,Culture
77268,L 36,Culture|Economy
77267,L 37,Culture
77274,L 58,Education
77265,L 39,Infrastructure
77264,L 40,Infrastructure
77261,L 41,Infrastructure
77236,L 18,Justice
77232,L 21,Justice
78053,L 22 A,Justice
78054,L 22 B,Justice
77252,L 4,Defence
77249,L 5,Defence
77583,L 78,Energy
77293,L 56,Foreign
77269,L 10,Labour
77278,L 12,Labour|Social
77480,L 69,Labour
77683,L 87,Labour
77481,L 70,Labour|Territories
78181,L 47 A,Business
78182,L 47 B,Business
78124,L 17 A,Justice
77590,L 83,Justice
77247,L 16,Economy|Education
77709,L 89,Education
77263,L 6,Social
77262,L 7,Social
77301,L 8,Social
77259,L 42,Infrastructure|Justice
77258,L 43,Infrastructure
77255,L 44,Infrastructure
77254,L 45,Infrastructure
77253,L 46,Infrastructure
77483,L 71,Housing
77251,L 52,Energy|Environment
77248,L 54,other
77581,L 82,Environment
78125,L 55 A,Immigration
78126,L 55 B,Immigration
77587,L 76,Labour
77589,L 77,Labour|Social
77798,L 92,Labour
77243,L 67,Culture
77244,L 68,Europe
77246,L 73,Business
78303,L 51 A,Business|Local
78304,L 51 B,Local
77580,L 79,Business
77285,L 27,Economy
77642,L 86,Economy|Energy
77797,L 100,Economy
77795,L 101,Economy
77242,L 19,Justice|Territories
77240,L 20,Justice
77582,L 84,Justice
77585,L 85,Social
77169,L 1,Economy
77170,L 2,Economy|Local
77171,L 3,Economy|Local
77482,L 72,Education
77791,L 104,Education
77793,L 105,Education|Social
77257,L 14,Immigration|Local
77256,L 15,other
77711,L 90,Social
77710,L 91,Social
77586,L 80,Immigration
77276,L 13,Labour|Social
77807,L 97,Energy
78152,L 119,Environment
77790,L 98,Housing
77804,L 112,Agriculture
78346,L 28 A,Economy
77800,L 102,Economy
77799,L 103,Economy
77892,L 115,Economy|Housing
78221,L 120,Economy|Energy
77787,L 99,Business|Europe
77588,L 75,Justice
77788,L 107,Justice
77894,L 113,Justice
77297,L 66,Economy|Health
77803,L 110,Health
77806,L 108,Health
77796,L 96,Justice
77997,L 117,Justice
77893,L 114,Economy
78335,L 132,Economy
77273,L 11,Labour
78337,L 135,Labour
78616,L 106 A,Environment|Justice
78617,L 106 B,Agriculture
78618,L 106 C,Justice
77805,L 109,Health
78245,L 121,Education
78240,L 122,Justice
78241,L 123,Justice|Territories
77998,L 118,Immigration
78454,L 140,Immigration
78330,L 130,Infrastructure
78247,L 125,Business
78536,L 142,Economy
78570,L 145,Economy
78571,L 146,Economy
79166,L 60 A,Education
79165,L 60 B,Education
77802,L 111,Health
78244,L 127,Health
78798,L 166,Immigration
78678,L 163,Education
78336,L 134,Health
78675,L 154,Infrastructure
77794,L 95,Justice
78398,L 139,Justice
78664,L 149,Justice
78902,L 168,Business|Territories
78901,L 169,Economy|Territories
78680,L 161,Energy|Europe
78681,L 162,Economy
79190,L 207,Economy
78676,L 152,Immigration|Justice
78567,L 143,Labour
78566,L 147,Agriculture
79392,L 141 B,Health
78925,L 177,Energy
78924,L 178,Energy
78927,L 179,Energy
78670,L 157,Business
78668,L 159,Business
78904,L 188,Business|Housing
78799,L 165,Immigration
78672,L 158,Business
78900,L 190,Business
78667,L 155,Social
78669,L 156,Social
78916,L 183,Culture
78912,L 185,Housing
78911,L 186,Infrastructure
78906,L 182,Education
79477,L 170 A,Justice
79478,L 170 B,Justice
78243,L 128,Health
79550,L 164 A,Health|Justice
79551,L 164 B,Health
79552,L 164 C,Health
78921,L 194,Health
78568,L 148,Social
79124,L 198,Infrastructure
79118,L 201,Education
78928,L 195,Social
79122,L 200,Education
78918,L 172,Justice
78919,L 174,Justice
78914,L 184,Infrastructure
78923,L 180,Labour
78926,L 181,Labour
79123,L 199,Education
79295,L 218,Education
79571,L 220 A,Agriculture
79570,L 220 B,Agriculture
79567,L 151 A,Immigration
79568,L 151 C,Immigration|Labour
79569,L 151 D,Justice
79302,L 217,Education|Immigration
79125,L 196,Labour
79305,L 209,Labour|Social
79306,L 210,Labour
79303,L 211,Labour
79119,L 202,Infrastructure
79121,L 203,Infrastructure
78903,L 189,Business|Justice
79117,L 204,Business|Justice
79116,L 205,Business
79300,L 215,Defence
79448,L 226,Education
78907,L 191,Environment
79379,L 222,Economy
80006,L 1,other
80676,L 38,Immigration|Justice
80333,L 19,Labour|Social
80354,L 26,Economy
80355,L 22,Economy
80357,L 23,Economy
80360,L 24,Economy
80326,L 5,Culture
80340,L 14,Infrastructure
80339,L 15,Economy|Infrastructure
80334,L 18,Labour
80345,L 28,Agriculture
80347,L 29,Agriculture
80344,L 30,Agriculture
80337,L 32,Business
80335,L 33,Business
80348,L 7,Social
80350,L 8,Social
80351,L 16,Energy|Infrastructure
80349,L 17,Energy|Infrastructure
80342,L 34,Health
80343,L 35,Health
80330,L 12,Housing
81204,L 27 A,Economy|Europe
80352,L 21,Economy
80329,L 31,Environment
80728,L 40,Energy
80917,L 46,Business
81205,L 27 B,Economy
80537,L 37,Immigration
80363,L 9,Justice
80336,L 10,Justice
80331,L 11,Justice|Territories
80328,L 20,Culture
80321,L 2,Economy|Local
80322,L 3,Economy|Local
80726,L 41,Immigration
80836,L 43,Immigration
81038,L 58,Business|Justice
80727,L 39,Energy
81032,L 50,Environment
81037,L 51,Energy|Infrastructure
80916,L 47,Justice
81041,L 59,Education
81040,L 60,Education
81039,L 61,Education
81042,L 62,Agriculture|Europe
80332,L 13,Housing
80921,L 49,Economy
81605,L 64 B,Economy
80361,L 4,Economy
80356,L 25,Economy
80541,L 36,Economy|Housing
81597,L 71 A,Economy|Housing
81596,L 71 B,Economy|Housing
81598,L 72 B,Economy|Europe
81161,L 73,Economy
81601,L 74 A,Economy|Energy
81600,L 74 B,Economy|Energy
81602,L 75 A,Economy
81603,L 75 B,Economy
81163,L 76,Economy
81154,L 70,Economy
80915,L 45,Labour|Social
81036,L 52,Labour
81035,L 53,Labour|Social
81156,L 66,Labour|Social
81155,L 67,Labour
81034,L 54,Labour
81157,L 65,Labour
80919,L 44,Labour|Social
81029,L 56,Social
81149,L 69,Labour|Social
81030,L 55,other
81500,L 83,Immigration|Justice
81255,L 79,Education
81581,L 85,Labour|Social
81031,L 63,Environment
81501,L 84,Agriculture
80833,L 42,Justice
81578,L 90,Economy
81955,L 91 A,Economy
81956,L 91 B,Economy
81957,L 91 C,Economy
81250,L 80,Agriculture
81253,L 77,Infrastructure
81377,L 82,Economy|Energy
81249,L 78,Justice
82153,L 68 A,Social
82154,L 68 B,Social
82156,L 81 A,Housing
82157,L 81 B,Housing
81781,L 96,Education
81678,L 92,Justice
81869,L 97,Economy
81946,L 100,Education
82485,L 140,Education
82252,L 126,Education
82503,L 141,Labour
82517,L 142,Labour|Social
82518,L 143,Labour
82530,L 144,Education
82559,L 153,Health
82561,L 154,Culture
82572,L 158,Health
82570,L 157,Justice
82588,L 161,Labour
82624,L 168 B,Business
82482,L 136,Labour|Social
82659,L 169,Labour|Social
82786,L 172,Energy
82780,L 171,Education
82787,L 175,Economy
81576,L 86,Social
82047,L 109,Business
83178,L 110 A,Business
83177,L 110 B,Economy|Justice
81575,L 87,Justice
81780,L 94,Environment
82928,L 181,Business
82048,L 107,Education
81945,L 99,Economy
83403,L 190,Labour
82233,L 114,Energy
82231,L 116,Energy
83339,L 124 A,Business
83340,L 124 B,Business
82040,L 108,Culture
82045,L 102,Justice
82044,L 103,Justice
82230,L 113,Justice
82417,L 137,Economy
82550,L 155,Economy
83592,L 165 A,Economy
83593,L 165 B,Business|Economy
82654,L 174,Economy
81579,L 88,Agriculture|Health
81580,L 89,Health
85665,L 76,Labour|Social
85772,L 102,Labour
84963,L 26,Education
84961,L 27,Education
84974,L 52,Education
84959,L 13,Business
84968,L 33,Defence|Europe
84966,L 34,Defence
84975,L 51,Education
84960,L 59,Health
84915,L 47,Economy|Infrastructure
84952,L 43,Energy
84956,L 12,Business
85356,L 71,Labour
84934,L 31,Economy|Social
84945,L 6,Housing
84939,L 7,Housing
84938,L 8,Housing
84913,L 18,Culture
84919,L 53,Defence|Justice
84917,L 24,Justice|Social
84981,L 49,Education
84973,L 50,Education
84962,L 61,Health|Social
86402,L 63 A,Health
84978,L 36,Infrastructure
84976,L 38,Infrastructure
84983,L 39,Infrastructure
84965,L 35,Defence
85513,L 74,Economy
84911,L 25,Culture
85355,L 70,Culture
86192,L 56 A,Infrastructure
84948,L 20,Labour
84950,L 21,Labour
84951,L 22,Labour
85673,L 79,Labour
85675,L 80,Labour
85682,L 82,Business
85361,L 109,Business
85667,L 94,Environment
85671,L 95,Environment
85354,L 68,Economy|Environment
85664,L 85,Justice
85360,L 67,Energy
85683,L 97,Infrastructure
85687,L 98,Energy|Infrastructure
85685,L 99,Energy
85359,L 72,Immigration|Territories
84953,L 45,Immigration
85358,L 73,Immigration
84955,L 58,Agriculture
85700,L 77,Agriculture
86570,L 30 A,Economy
86569,L 30 B,Economy
86565,L 32 A,Economy|Justice
86564,L 32 B,Business|Economy
86485,L 69 A,Economy|Labour
86486,L 69 B,Economy
86484,L 69 C,Economy
85676,L 87,Economy
85679,L 90,Economy|Energy
85861,L 106,Economy
86567,L 107 B,Economy
85862,L 103,Culture
84923,L 15,Justice|Social
84927,L 17,Social
85859,L 91,Social
85864,L 104,Labour
85865,L 105,Labour
86561,L 92 A,Immigration|Labour
86562,L 92 B,Business|Immigration
85678,L 93,Immigration
84868,L 1,Economy
84867,L 2,Economy|Local
84869,L 3,Economy
84977,L 48,Education
